CVE,Description,Chains,Weakness_Description,ROOTCAUSE,WEAKNESS,IMPACT,VECTOR,ATTACKER,PRODUCT,VERSION,COMPONENT,missing,extra
CVE-2022-26113,"An execution with unnecessary privileges vulnerability [CWE-250] in FortiClientWindows 7.0.0 through 7.0.3, 6.4.0 through 6.4.7, 6.2.0 through 6.2.9, 6.0.0 through 6.0.10 may allow a local attacker to perform an arbitrary file write on the system.",, An execution with unnecessary privileges vulnerability [CWE-250], An execution with unnecessary privileges vulnerability [CWE-250],,arbitrary file write,,local attacker,FortiClientWindows,"7.0.0 through 7.0.3, 6.4.0 through 6.4.7, 6.2.0 through 6.2.9, 6.0.0 through 6.0.10",,,"nan, file, arbitrary, write"
CVE-2022-26119,A improper authentication vulnerability in Fortinet FortiSIEM before 6.5.0 allows a local attacker with CLI access to perform operations on the Glassfish server directly via a hardcoded password.,,improper authentication...directly via a hardcoded password,improper authentication | hardcoded password,,perform operations on Glassfish server,hardcoded password,local attacker with CLI access,Fortinet FortiSIEM,before 6.5.0,,,"perform, server, on, nan, operations, glassfish"
CVE-2022-2630,"An improper access control issue in GitLab CE/EE affecting all versions starting from 15.2 before 15.2.4, all versions from 15.3 before 15.3.2 allows disclosure of confidential information via the Incident timeline events.",,improper access control,improper access control,,disclosure of confidential information,,,GitLab CE/EE,"15.2 before 15.2.4, 15.3 before 15.3.2",Incident timeline events,,"confidential, disclosure, of, information, nan"
CVE-2022-26308,"Pandora FMS v7.0NG.760 and below allows an improper access control in Configuration (Credential store) where a user with the role of Operator (Write) could create, delete, view existing keys which are outside the intended role.",,improper access control,improper access control,,create|delete|view existing keys,,,Pandora FMS,v7.0NG.760 and below,Configuration (Credential store),,"keys, create, view, existing, nan, delete"
CVE-2022-26310,"Pandora FMS v7.0NG.760 and below allows an improper authorization in User Management where any authenticated user with access to the User Management module could create, modify or delete any user with full admin privilege. The impact could lead to a vertical privilege escalation to access the privileges of a higher-level user or typically an admin user.",,improper authorization,improper authorization,,create|modify|delete any user with full admin privilege,,any authenticated user with access to User Management module,Pandora FMS,v7.0NG.760 and below,User Management,,"create, nan, user, with, full, privilege, modify, delete, admin, any"
CVE-2022-26343,Improper access control in the BIOS firmware for some Intel(R) Processors may allow a privileged user to potentially enable escalation of privilege via local access.,,Improper access control,improper access control,,escalation of privilege,,privileged user,Intel Processors,,BIOS firmware,,"nan, of, escalation, privilege"
CVE-2022-26429,"In cta, there is a possible way to write permission usage records of an app due to a missing permission check. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS07025415; Issue ID: ALPS07025415.",,missing permission check,missing permission check,,write permission usage records of an app,,,Android,,cta,,"of, usage, nan, app, an, records, write"
CVE-2022-26476,"A vulnerability has been identified in Spectrum Power 4 (All versions using Shared HIS), Spectrum Power 7 (All versions using Shared HIS), Spectrum Power MGMS (All versions using Shared HIS). An unauthenticated attacker could log into the component Shared HIS used in Spectrum Power systems by using an account with default credentials. A successful exploitation could allow the attacker to access the component Shared HIS with administrative privileges.",,default credentials,default credentials,,access Shared HIS with administrative privileges,,unauthenticated attacker,Spectrum Power 4|Spectrum Power 7|Spectrum Power MGMS,All versions using Shared HIS,Shared HIS component,,"his, administrative, privileges, shared, nan, with, access"
CVE-2022-26526,"Anaconda Anaconda3 (Anaconda Distribution) through 2021.11.0.0 and Miniconda3 through 4.11.0.0 can create a world-writable directory under %PROGRAMDATA% and place that directory into the system PATH environment variable. Thus, for example, local users can gain privileges by placing a Trojan horse file into that directory. (This problem can only happen in a non-default installation. The person who installs the product must specify that it is being installed for all users. Also, the person who installs the product must specify that the system PATH should be changed.",CWE-732->CWE-427,Anaconda Anaconda3 (Anaconda Distribution) through 2021.11.0.0 and Miniconda3 through 4.11.0.0 can create a world-writable directory under %PROGRAMDATA%,world-writable directory,,gain privileges,Trojan horse file,local users,Anaconda Anaconda3|Miniconda3,"Anaconda3 through 2021.11.0.0, Miniconda3 through 4.11.0.0",,,"nan, privileges, gain"
CVE-2022-2660,Delta Industrial Automation DIALink versions 1.4.0.0 and prior are vulnerable to the use of a hard-coded cryptographic key which could allow an attacker to decrypt sensitive data and compromise the machine. ,,use of a hard-coded cryptographic key,use of hard-coded cryptographic key,,decrypt sensitive data,,attacker,Delta Industrial Automation DIALink,1.4.0.0 and prior,,,"decrypt, sensitive, data, nan"
CVE-2022-26833,An improper authentication vulnerability exists in the REST API functionality of Open Automation Software OAS Platform V16.00.0121. A specially-crafted series of HTTP requests can lead to unauthenticated use of the REST API. An attacker can send a series of HTTP requests to trigger this vulnerability.,,,improper authentication,,unauthenticated use of REST API,specially-crafted HTTP requests,attacker,Open Automation Software OAS Platform,V16.00.0121,REST API,,"use, unauthenticated, of, authentication, improper, rest, api"
CVE-2022-27172,A hard-coded password vulnerability exists in the console infactory functionality of InHand Networks InRouter302 V3.5.37. A specially-crafted network request can lead to privileged operation execution. An attacker can send a sequence of requests to trigger this vulnerability.,,hard-coded password,hard-coded password,,privileged operation execution,specially-crafted network request,attacker,InHand Networks InRouter302,V3.5.37,console infactory functionality,,"nan, execution, privileged, operation"
CVE-2022-27211,"A missing permission check in Jenkins Kubernetes Continuous Deploy Plugin 2.3.1 and earlier allows attackers with Overall/Read permission to connect to an attacker-specified SSH server using attacker-specified credentials IDs obtained through another method, capturing credentials stored in Jenkins.",,A missing/An incorrect permission check,missing permission check,,connect to attacker-specified SSH server|capture credentials,,attackers with Overall/Read permission,Jenkins Kubernetes Continuous Deploy Plugin,2.3.1 and earlier,,,"connect, specified, server, capture, ssh, credentials, nan, to, attacker"
CVE-2022-27235,Multiple Broken Access Control vulnerabilities in Social Share Buttons by Supsystic plugin <= 2.2.3 at WordPress.,,Broken Access Control,broken access control,,,,,,Social Share Buttons by Supsystic,<= 2.2.3,,nan
CVE-2022-27484,"A unverified password change in Fortinet FortiADC version 6.2.0 through 6.2.3, 6.1.x, 6.0.x, 5.x.x allows an authenticated attacker to bypass the Old Password check in the password change form via a crafted HTTP request.",,unverified password change,unverified password change,,bypass Old Password check,crafted HTTP request,authenticated attacker,Fortinet FortiADC,"6.2.0 through 6.2.3, 6.1.x, 6.0.x, 5.x.x",password change form,,"nan, check, bypass, old"
CVE-2022-27673,Insufficient access controls in the AMD Link Android app may potentially result in information disclosure.,,Insufficient access controls,insufficient access controls,,information disclosure,,,AMD Link Android app,,,,"nan, information, disclosure"
CVE-2022-27840,Improper access control vulnerability in SamsungRecovery prior to version 8.1.43.0 allows local attckers to delete arbitrary files as SamsungRecovery permission.,,Improper access control,improper access control,,delete arbitrary files,,local attackers,SamsungRecovery,prior to 8.1.43.0,,,"nan, files, arbitrary, delete"
